topic,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
Cold Wave,-0.29566420686262046,0.9688755209676247,0.7187296045105156,0.6950439556981062,8.0
Drought,0.008467268156793712,0.805340082187817,-0.004102126708255701,0.9633770694349897,122.0
Earthquake,0.08139024221367351,0.9673659268682789,-1.7276848813674305e-06,0.9593445605311866,153.0
Flash Flood,0.0031453401006234435,0.11978425868222525,-0.09273010276630755,0.5781857427701594,2.0
Flood,-0.20480561580533663,1.000711044179068,-0.04128829234059183,0.9409288445115757,585.0
Flooding,-0.6664768499527476,0.43021490063415385,-0.4234217019175983,1.1548960193201936,8.0
Fog,-0.18467621860109046,0.7162079038625747,-0.379145165977775,0.9681662692470011,13.0
Heat Wave,0.3049371895036315,0.9113027111153532,0.3382806335490276,0.8936043347935483,208.0
Iceberg,-0.3761444277468225,0.5830963721299991,-0.003237197548986964,0.7496778995387219,12.0
Insect Infestation,0.02735410889395112,0.05559635237375016,-0.06481018725645234,0.2802172541144275,2.0
Land Slide,-1.3423701104377894,1.0,1.7213933030836883,1.0,1.0
Landslide,-0.08293949538766682,1.060554126608369,-0.029665130993421638,0.9656713265299405,51.0
Precipitation,-0.11403944940003075,0.9648258317088722,-0.04134819121421398,0.8859836693490447,366.0
Snow Avalanche,0.9941386187602584,1.0,2.088663687735923,1.0,1.0
Snow&Ice,0.13422243984393079,0.8717778342407755,inf,1.0,114.0
Storm,0.1346163024266671,0.9139420780672894,inf,1.0,635.0
Storm Surge,-0.2392981157683107,1.1517116365024795,0.24016704271425862,0.8482533183953865,21.0
Thunderstorm,0.16169388953956512,0.9302624559310316,0.05899226861011995,0.8951703712056104,107.0
Tropical Cyclone,-0.012542929370345323,0.8812830536237602,0.06536403261383071,0.9506382369631194,675.0
Tsunami,0.19966122737854225,0.49165561070016883,0.32829948992978325,1.0686448961527373,10.0
Volcano,0.17453857412034893,0.8766224530625305,0.1049788702117582,0.8647213338594796,67.0
Wild Fire,0.07501378402725514,0.7006176836592778,-0.275449513932588,0.94308079467885,10.0
Wildfire,0.01401707439650824,0.9700365599864016,inf,1.0,418.0
